dataset,model,n,accuracy,weighted_f1,macro_f1,unparseable_rate,strongest_baseline,mcnemar_b,mcnemar_c,mcnemar_statistic,mcnemar_p_value,mcnemar_method,boot_point,boot_lo,boot_hi,boot_n_boot
fiqa,Finistral-7B-LoRA,235,0.8765957446808511,0.8833361517039293,0.6999494874241651,0.0,0,,,,,,,,,
fiqa,FinGPT-Falcon-7B-LoRA,235,0.8553191489361702,0.8594193480767216,0.722621208192896,0.0,1,15.0,10.0,0.64,0.4237107971667936,chi2-continuity,0.021276595744680882,-0.02127659574468077,0.06382978723404253,10000.0
fiqa,FinGPT-mt-Llama2-7B-LoRA,235,0.8085106382978723,0.830055836714546,0.6743146811418889,0.0,0,26.0,10.0,6.25,0.012419330651552277,chi2-continuity,0.06808510638297882,0.02127659574468077,0.11914893617021272,10000.0
fiqa,Finistral-7B-LoRA (Alpaca prompt),235,0.774468085106383,0.8208812522593603,0.6524611566050691,0.0,0,31.0,7.0,13.921052631578947,0.00019065106015951787,chi2-continuity,0.10212765957446812,0.05531914893617018,0.15319148936170213,10000.0
fiqa,FinGPT-Llama-3-8B-LoRA,235,0.6212765957446809,0.7218926790299788,0.5794791187824685,0.07234042553191489,0,71.0,11.0,42.451219512195124,7.246721465750753e-11,chi2-continuity,0.25531914893617025,0.18723404255319154,0.32340425531914896,10000.0
fiqa,FinGPT-Bloom-7B1-LoRA,235,0.6936170212765957,0.6913557902583907,0.528343866651883,0.0,0,55.0,12.0,26.328358208955223,2.8802831392596984e-07,chi2-continuity,0.18297872340425536,0.11914893617021283,0.2468085106382979,10000.0
fiqa,FinBERT (ProsusAI),235,0.5148936170212766,0.6147397354329517,0.47262174367358584,0.0,0,92.0,7.0,71.27272727272727,3.1110653427607975e-17,chi2-continuity,0.36170212765957455,0.2936170212765957,0.42978723404255326,10000.0
fiqa,Mistral-7B-v0.1-Base,235,0.01276595744680851,0.02519291361216251,0.017606554519306195,0.9872340425531915,0,203.0,0.0,201.00492610837438,1.2604836256974483e-45,chi2-continuity,0.8638297872340426,0.8170212765957446,0.9063829787234042,10000.0
fpb_decontam,Finistral-7B-LoRA,560,0.9892857142857143,0.9893302136120651,0.9852731542116072,0.0,0,,,,,,,,,
fpb_decontam,FinGPT-mt-Llama2-7B-LoRA,560,0.9857142857142858,0.9856830039238171,0.9798468886205676,0.0,1,7.0,5.0,5.0,0.7744140625,exact-binomial,0.0035714285714285587,-0.008928571428571508,0.016071428571428625,10000.0
fpb_decontam,Finistral-7B-LoRA (Alpaca prompt),560,0.9803571428571428,0.9803738920350662,0.9754999154672047,0.0,0,7.0,2.0,2.0,0.1796875,exact-binomial,0.008928571428571508,-0.0017857142857142794,0.019642857142857184,10000.0
fpb_decontam,FinGPT-Falcon-7B-LoRA,560,0.9696428571428571,0.969668331994084,0.9633179787251688,0.0,0,13.0,2.0,2.0,0.00738525390625,exact-binomial,0.019642857142857184,0.0071428571428571175,0.03392857142857142,10000.0
fpb_decontam,FinBERT (ProsusAI),560,0.9642857142857143,0.9647646336578869,0.9517694020760564,0.0,0,19.0,5.0,5.0,0.006610751152038574,exact-binomial,0.025000000000000022,0.008928571428571397,0.04285714285714293,10000.0
