model,model_key,dataset,n_seeds,accuracy_mean,accuracy_std,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,unparseable_rate_mean
Finistral-7B-LoRA,finistral,fiqa,1,0.8765957446808511,0.0,0.8833361517039293,0.0,0.6999494874241651,0.0,0.0
FinGPT-Falcon-7B-LoRA,fingpt_falcon,fiqa,1,0.8553191489361702,0.0,0.8594193480767216,0.0,0.722621208192896,0.0,0.0
FinGPT-mt-Llama2-7B-LoRA,fingpt_llama2,fiqa,1,0.8085106382978723,0.0,0.830055836714546,0.0,0.6743146811418889,0.0,0.0
Finistral-7B-LoRA (Alpaca prompt),finistral_alpaca,fiqa,1,0.774468085106383,0.0,0.8208812522593603,0.0,0.6524611566050691,0.0,0.0
FinGPT-Llama-3-8B-LoRA,fingpt_llama3,fiqa,1,0.6212765957446809,0.0,0.7218926790299788,0.0,0.5794791187824685,0.0,0.0723404255319148
FinGPT-Bloom-7B1-LoRA,fingpt_bloom,fiqa,1,0.6936170212765957,0.0,0.6913557902583907,0.0,0.528343866651883,0.0,0.0
Mistral-7B-v0.1-Base,mistral_base,fiqa,1,0.0127659574468085,0.0,0.0251929136121625,0.0,0.0176065545193061,0.0,0.9872340425531916
Finistral-7B-LoRA,finistral,fpb_decontam,1,0.9892857142857144,0.0,0.9893302136120652,0.0,0.9852731542116072,0.0,0.0
FinGPT-mt-Llama2-7B-LoRA,fingpt_llama2,fpb_decontam,1,0.9857142857142858,0.0,0.9856830039238172,0.0,0.9798468886205676,0.0,0.0
Finistral-7B-LoRA (Alpaca prompt),finistral_alpaca,fpb_decontam,1,0.9803571428571428,0.0,0.9803738920350662,0.0,0.9754999154672048,0.0,0.0
FinGPT-Falcon-7B-LoRA,fingpt_falcon,fpb_decontam,1,0.9696428571428573,0.0,0.969668331994084,0.0,0.9633179787251688,0.0,0.0
FinGPT-Llama-3-8B-LoRA,fingpt_llama3,fpb_decontam,1,0.9339285714285714,0.0,0.9409774761500704,0.0,0.9265311629328364,0.0,0.0178571428571428
FinGPT-Bloom-7B1-LoRA,fingpt_bloom,fpb_decontam,1,0.8946428571428572,0.0,0.8934150008483577,0.0,0.8517192334198449,0.0,0.0
Mistral-7B-v0.1-Base,mistral_base,fpb_decontam,1,0.0035714285714285,0.0,0.007025178416134,0.0,0.0135278770895738,0.0,0.9946428571428572
Finistral-7B-LoRA (Alpaca prompt),finistral_alpaca,tfns,1,0.8786346396965866,0.0,0.8810770979989634,0.0,0.8597860916484814,0.0,0.0
FinGPT-Llama-3-8B-LoRA,fingpt_llama3,tfns,1,0.7804466919511167,0.0,0.8211189165817787,0.0,0.79063950816492,0.0,0.0927096502317741
Finistral-7B-LoRA,finistral,tfns,1,0.7892962494732406,0.0,0.7958607451133978,0.0,0.7776328696272516,0.0,0.0
FinGPT-mt-Llama2-7B-LoRA,fingpt_llama2,tfns,1,0.764433206911083,0.0,0.7713374925793425,0.0,0.7526658960115821,0.0,0.0
FinGPT-Falcon-7B-LoRA,fingpt_falcon,tfns,1,0.7307206068268015,0.0,0.7376626102133717,0.0,0.7223301469811833,0.0,0.0
FinGPT-Bloom-7B1-LoRA,fingpt_bloom,tfns,1,0.6826801517067004,0.0,0.6986199073715759,0.0,0.6448981658905489,0.0,0.0
Mistral-7B-v0.1-Base,mistral_base,tfns,1,0.0012642225031605,0.0,0.0024939905886911,0.0,0.0046902567152344,0.0,0.9945217024863042
